joint,mean_err_px,median_err_px,max_err_px
0,18.928133602661518,17.09171169132491,31.618579793137986
1,17.599776821047946,18.553037037977433,28.674813326853265
2,19.847475059737658,14.417754856653115,38.85561980325229
3,16.747593916455028,13.146265827046149,35.28517421344835
4,14.913427285752476,14.563223723101537,24.485012985960097
5,18.8679977597117,21.66011020020869,32.02948750700236
6,14.79336469712977,14.025681816157217,30.690535945333924
7,11.673481701016062,11.100206642822348,24.44338143104232
8,11.085898649461225,13.121067834676921,15.333533453758411
9,25.244024870794025,28.295061736091345,42.117169662872314
10,20.09211641446855,22.13849386405304,36.09721218612472
11,18.357694095155033,18.987839106548506,30.76336551702866
12,18.470476365011866,18.893854495443186,30.306492908803936
13,28.751589049993594,32.18474103951374,46.0678276886552
14,26.35991993396565,28.79524892282192,46.86252001476961
15,27.63712769546971,27.414011822042426,47.22144532830377
16,30.627322804457357,23.507777012766216,52.74784657684698
17,32.99963752389102,33.881122900791816,48.62423162478391
18,32.25812303281181,33.87562808488484,48.20906233737766
19,38.87351033147998,34.55517359282146,52.721079704497946
20,48.02766498116027,46.886233462728896,59.82906869277045
