joint,mean_err_px,median_err_px,max_err_px
0,0.7394432463,0.7753061647,1.3325178628
1,0.6839874029,0.7030957588,1.3991726874
2,0.7574016745,0.7510088580,1.4174752516
3,0.7154037715,0.7316392779,1.2337525464
4,4.8802367844,4.8861911465,6.8399085570
5,0.7575135317,0.7806953697,1.3809298604
6,0.7066019260,0.7351651989,1.3049632545
7,0.6600965228,0.6761470497,1.2992034972
8,5.1573205156,5.0886256859,8.1538579560
9,0.6792926718,0.6749879813,1.3736574827
10,0.7042796298,0.7570895188,1.2848003067
11,0.6504214451,0.6534591152,1.3710428340
12,2.9658879944,3.0710904491,5.2502931490
13,0.6698538328,0.6655587451,1.2547873815
14,0.7335014699,0.7675558915,1.4046063236
15,0.6696259989,0.6783907610,1.3688173622
16,1.6852703263,1.5331424376,3.7175728570
17,0.7038497501,0.6819058621,1.3485084988
18,0.7335860884,0.7747853355,1.2494282940
19,0.7107892504,0.7216927658,1.2610417497
20,1.9650021857,1.9682634907,3.6132850132
