image,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,json,overlay
sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000.jpg,1.3896011124,0.7454750751,2.1416813481,0.1599233508,6.1561862547,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_mano_vs_gt.jpg
sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042.jpg,1.3656708206,0.7997481205,1.9911159370,0.3266627121,5.2398473935,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_mano_vs_gt.jpg
sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085.jpg,1.3219573822,0.7910885691,1.9718748747,0.1820117126,5.5117982616,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_mano_vs_gt.jpg
sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128.jpg,1.3354105686,0.9003960567,1.8830801784,0.1236313051,5.1573269683,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_mano_vs_gt.jpg
sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170.jpg,1.2805893264,0.7237188763,1.9953153303,0.2305833311,5.8567278845,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_mano_vs_gt.jpg
sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019.jpg,1.3573442477,0.7881839526,1.9949038347,0.3685990982,5.8604815570,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019_mano_vs_gt.jpg
sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054.jpg,1.2273511869,0.8446652430,1.6916182277,0.2204559215,4.7326628894,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_mano_vs_gt.jpg
sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089.jpg,1.2094110491,0.7522806865,1.7650099879,0.1745623614,4.9258267883,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_mano_vs_gt.jpg
sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124.jpg,1.2233027602,0.7595666401,1.6645965563,0.2353808576,4.5109990228,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_mano_vs_gt.jpg
sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159.jpg,1.2276445786,0.6247380455,2.0658775502,0.1864808641,6.2120321464,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_mano_vs_gt.jpg
