joint,mean_err_px,median_err_px,max_err_px
0,22.3346176539,18.9694185943,98.7007303901
1,23.5868306777,22.6725510139,68.5355967668
2,22.5184219120,21.5111579159,62.4967228656
3,15.8410882358,13.6638333730,57.5520183652
4,22.6181604606,19.4616566787,88.1109526765
5,16.6864896573,15.0759007540,60.9894737021
6,18.1011444896,16.6299871744,55.9845826713
7,19.7873122176,15.4464966267,64.2310824674
8,32.1925575037,26.9796754744,89.7073493666
9,15.9759545033,14.9797283654,52.8594185168
10,19.6009847329,16.4541276679,64.0180763730
11,26.4935528722,22.6283318551,65.8754908230
12,37.8338574208,35.3082902881,76.8478407836
13,19.8198665195,16.3724836099,82.5288519936
14,19.0265209491,17.5561687283,70.3358169415
15,25.1720974864,19.6231443709,73.6651201659
16,42.8661630036,36.5008771687,102.8235884912
17,26.4572320910,21.2678303184,105.0327246955
18,22.5569146199,19.2682431159,86.4643640365
19,24.9624290529,20.4137319593,85.0389203524
20,38.3071051393,32.8036212595,98.8516546980
