joint,mean_err_px,median_err_px,max_err_px
0,9.2764424177,7.7135984849,31.0820851332
1,9.2173264346,6.5892826157,48.6868725817
2,7.4863329048,6.2069358790,42.1771088893
3,8.0294462678,6.4708438560,31.9432824368
4,11.6469654679,10.4766719184,35.8053474675
5,8.5181591593,7.0947974692,46.7505926196
6,7.4042724032,6.1902770280,26.8792618342
7,8.8842416505,7.0428864896,32.8271443332
8,13.4801659981,10.8210032742,69.9275549755
9,9.0414014809,6.3217024439,71.9854306113
10,9.1362775316,7.1194828873,37.8170306383
11,10.7093640661,8.5053324575,32.5218247979
12,14.0815468381,10.7782928386,49.4867446995
13,9.9570798595,6.1038277119,68.0883975078
14,9.1509114624,6.5315255220,51.7856569131
15,11.6329151459,8.4005160176,68.0470433104
16,18.1821059283,13.7241222526,99.5989481726
17,11.7642029123,7.2613258742,84.0656476414
18,11.3846609242,8.8807280535,70.3663143195
19,12.8084840421,9.6097270614,65.4315521034
20,17.1714994929,13.6140601911,74.9352118309
