joint,mean_err_px,median_err_px,max_err_px
0,11.6644274066,10.0779474571,33.8313268474
1,9.1380790834,6.8213550738,49.6553862128
2,7.4508511780,6.1145927054,41.1354810411
3,8.6190077316,6.8874025866,35.4775050747
4,12.1401257711,10.0941693855,51.5501211580
5,7.9787279324,5.9307110173,42.5862485638
6,7.6863177921,7.0460724862,23.2169379668
7,9.8258659889,7.9909339935,34.9584915269
8,14.3230679514,11.8885426036,64.5327247922
9,9.0040420129,6.2090399612,68.3258238301
10,9.1909908879,7.6263040391,34.7835455306
11,11.8355962234,9.9241302073,36.2930749067
12,16.7516159320,14.3444903956,53.4105779530
13,10.0033371595,7.0305418587,65.7790863771
14,9.4801066080,6.6768877342,51.7503192948
15,12.8590414400,9.3606925400,70.1371179528
16,20.4780339737,15.6728346576,101.0716511721
17,11.9176180179,8.2951887428,77.8028563442
18,11.4718442517,7.6465039883,65.8389271553
19,13.2648374050,9.6564205598,64.2126164444
20,18.8405344420,15.0266742064,74.5241031944
