joint,mean_err_px,median_err_px,max_err_px
0,11.1923437831,10.0162305548,37.1917036592
1,9.1046069357,7.2152105136,52.1685319939
2,7.0289357504,5.6181265867,40.6824189609
3,7.6156292981,6.5202875833,27.9995053498
4,10.9996650248,9.4484077221,43.5977886368
5,7.4606533091,5.9553209791,43.5562659903
6,6.9353452751,5.8535236092,22.6049078475
7,8.8927023987,7.4278078616,32.0077151279
8,13.2123706662,10.3562369982,66.4625983888
9,8.6368593915,5.7196113640,69.8643670130
10,9.0121732911,6.9933419317,33.8634406933
11,10.0871222046,8.1423933126,35.6941619366
12,13.3278918720,10.4972761071,47.1487621347
13,9.7601385913,6.5145433092,66.8350620576
14,9.0795903977,6.8183421030,56.0808381504
15,11.0845622038,7.3761458725,74.1603585695
16,17.5740108702,12.5914413476,105.1999035076
17,11.3974385814,8.2709003519,86.1248531778
18,11.1572866310,8.2913796252,73.9298366961
19,12.2452842030,9.5371572081,71.1710030467
20,16.4673419103,13.6694214575,82.1231320063
