joint,mean_err_px,median_err_px,max_err_px
0,10.4138492250,9.5091940491,38.4780644363
1,9.0684254533,6.2557255750,51.7201341412
2,7.9164198907,7.0023494659,46.9254996614
3,8.7391276053,8.1842658530,35.2874343535
4,10.4753964670,8.3305301787,42.6232774564
5,8.8124748956,7.6144791134,47.8299130611
6,7.6546467693,6.6619253045,32.2526053753
7,8.7081022928,7.2110894461,38.2788752760
8,11.9764600782,8.8923535679,60.9191196575
9,8.9268360342,6.7119237959,74.3178077780
10,8.9060356435,7.0795560880,40.4545118583
11,10.4845273616,9.2564657611,34.0717890480
12,13.7672911152,10.9702706088,49.2974203604
13,9.2743123793,5.9810856650,72.4188667273
14,9.0379594517,6.7727218736,51.9944023763
15,11.3578973189,8.7367425212,68.6164613780
16,17.0397327813,12.1011380314,101.8098849344
17,10.7964483116,7.5675154685,86.8147539227
18,10.4265931975,7.1029253179,71.1016429595
19,11.7626387332,8.4388497312,64.4694190068
20,15.8480888866,12.2593554734,74.9637408866
