image,detected,num_hands,selected_hand,is_right,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,overlay
sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000.jpg,True,1,0,True,12.885460214823524,10.916985983965816,15.147973155348492,2.6659781205330475,31.167383361063678,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.jpg
sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042.jpg,True,1,0,True,19.31420862518908,17.095991339989325,22.095876456831967,6.897054605993018,41.58712962507774,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.jpg
sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085.jpg,True,1,0,True,5.983205145007723,4.330991453377917,7.286515195792443,1.113818724874144,18.360590686014994,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.jpg
sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128.jpg,True,1,0,True,8.892131596733455,8.083959147867166,10.141969999397197,1.7983925931031814,20.756381980241063,4,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.jpg
sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170.jpg,True,1,0,True,6.994069612328163,4.591572902511624,9.043808488080874,0.5350307818719824,22.5814883569048,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.jpg
sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019.jpg,False,0,,,,,,,,,,
sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054.jpg,True,1,0,True,8.2306339814793,8.546734462860563,9.06122019656909,1.1277157799482949,16.298951021443095,12,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.jpg
sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089.jpg,True,1,0,True,5.0979415983071465,3.2867927812463438,6.535330828062717,0.7809880866663577,15.506850444826073,8,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.jpg
sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124.jpg,True,1,0,True,6.4138384903492405,7.272567021884628,7.270138096875244,1.6066504443142413,13.481888941367284,16,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.jpg
sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159.jpg,True,1,0,True,7.277160580649321,6.587073007904104,7.718019087884729,2.9142789491851158,13.25419549446517,4,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.jpg
sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000.jpg,True,1,0,True,5.341483174149851,5.118359258678371,5.786942686244149,1.4575194047323967,10.70511693622059,0,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_wilor_vs_gt.jpg
sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041.jpg,True,1,0,True,7.097473291406022,6.19992243667556,8.219322191395255,1.0727408091006478,18.44099508330962,4,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_wilor_vs_gt.jpg
sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091.jpg,True,1,0,True,16.88075013319779,17.681538411739055,17.753530713082935,5.0373674872371055,26.385972075553482,17,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_wilor_vs_gt.jpg
sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133.jpg,True,1,0,True,7.568113726852094,7.047379642695674,8.161803971362493,1.863584842580638,13.73844065341879,1,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_wilor_vs_gt.jpg
sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174.jpg,True,1,0,True,6.730304648469884,6.214908300108914,7.558891587381717,2.062332930445099,17.99435986172375,12,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_wilor_vs_gt.jpg
sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022.jpg,False,0,,,,,,,,,,
sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061.jpg,True,1,0,True,12.017950763979188,10.889158334172127,13.361039618440131,4.0011484706484275,27.781839415162352,16,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_wilor_vs_gt.jpg
sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101.jpg,True,1,0,True,12.738094874783584,11.133824435805993,13.931748454987323,5.686332033825156,27.158839418651894,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_wilor_vs_gt.jpg
sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140.jpg,True,1,0,True,13.302395705836451,11.84148648619846,14.801059260819212,2.213359803227363,30.43792261700709,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_wilor_vs_gt.jpg
sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180.jpg,True,1,0,True,17.909226905990455,16.30030512805729,19.67632703716478,2.7242541064458723,35.834086526124345,12,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_wilor_vs_gt.jpg
sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020.jpg,False,0,,,,,,,,,,
sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055.jpg,True,1,0,True,6.926696850131733,6.313686636124098,7.994271068048654,1.0182805428466637,15.927273306146102,20,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_wilor_vs_gt.jpg
sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091.jpg,True,1,0,True,11.218555204148752,8.655639258505245,13.139232679116128,2.8736529628358563,29.954070365428613,8,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_wilor_vs_gt.jpg
sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126.jpg,True,1,0,True,6.246122694511426,6.488290923672331,6.777328907947876,1.6562162656767405,12.61927139623038,1,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_wilor_vs_gt.jpg
sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173.jpg,True,1,0,True,7.460569173147921,5.922175169876018,9.633401784656945,1.529295379326139,28.773493080023336,0,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_wilor_vs_gt.jpg
sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032.jpg,False,0,,,,,,,,,,
sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065.jpg,True,1,0,True,9.44954750796021,8.846907981279166,9.899763408880052,4.252970740627105,15.533644455772915,8,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_wilor_vs_gt.jpg
sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098.jpg,True,1,0,True,8.808289594653067,6.964231493061114,10.995961359897278,0.4238570814305126,23.101098167853873,16,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_wilor_vs_gt.jpg
sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131.jpg,True,1,0,True,9.30457160358537,9.139192599563907,10.072648427335736,2.0960600372173954,17.90552830947723,16,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_wilor_vs_gt.jpg
sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190.jpg,False,0,,,,,,,,,,
sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026.jpg,False,0,,,,,,,,,,
sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059.jpg,True,1,0,True,5.647595379291163,4.475149305246405,6.733284077914249,1.9555630696967112,15.968147649644248,0,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_wilor_vs_gt.jpg
sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093.jpg,True,1,0,True,7.671812114793623,6.148358089135358,9.73099221227521,0.6354599573808811,22.76420007515917,8,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_wilor_vs_gt.jpg
sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127.jpg,True,1,0,True,13.321567103133258,10.350753344094326,16.369369832540126,2.0437027941802057,36.70282294931435,8,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/csv/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_2x4gpu_94k_best_vs_gt_2djoints/overlays/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_wilor_vs_gt.jpg
