joint,mean_err_px,median_err_px,max_err_px
0,265.0019936912,264.1017073521,350.6377504436
1,266.5413627539,264.3558111252,355.3608988835
2,258.9055357770,256.9070621325,337.7602982373
3,257.1123230984,256.6155942557,329.8254638685
4,252.2446229232,248.4111863118,331.6754049655
5,243.8595523304,241.2885142244,337.5388589871
6,244.8276446722,241.0061484391,312.7252764958
7,240.7876660146,235.2928903674,306.9395452970
8,234.7278265291,227.7660302888,314.1102143684
9,239.3085550471,237.5656402265,320.5783250203
10,241.6385850505,240.6412041580,307.9509677849
11,239.0755845355,235.8781090977,303.1032554784
12,241.3965334445,235.0593807255,327.9177189628
13,244.0230766030,241.3039685879,315.8868716258
14,251.4418707655,248.4700662885,319.2772421750
15,243.8702951272,240.5664879614,322.3703204864
16,230.1107169837,225.7587887333,318.5401910848
17,249.8251488256,245.6704417204,324.4029590395
18,252.5226572150,250.9659512818,327.0083852508
19,245.2392013232,242.5335638033,330.2531737171
20,232.4407568791,228.6585627863,323.9568318736
