image,detected,num_hands,selected_hand,is_right,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,overlay
sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000.jpg,True,1,0,True,257.3620797215925,255.29797002464392,258.0572844158002,221.4020897394682,301.0084114002908,1,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.jpg
sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042.jpg,True,1,0,True,239.62115083166108,238.3826207170039,240.06482320026294,214.61482530695721,269.53131381504716,4,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.jpg
sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085.jpg,True,1,0,True,254.0658525713348,254.51846489284884,254.41179529435206,225.87682829947934,275.3199399993002,12,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.jpg
sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128.jpg,True,1,0,True,270.93293844416394,271.92313877313734,271.4657729728724,247.41697565919486,309.60860874469756,4,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.jpg
sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170.jpg,True,1,0,True,265.48494193669194,264.788887107859,265.9568666698677,227.77778144467175,295.0900634645483,3,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.jpg
sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019.jpg,False,0,,,,,,,,,,
sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054.jpg,True,1,0,True,248.6349593235302,244.68083566882558,249.26638347484104,212.42102251296552,288.0977870877104,0,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.jpg
sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089.jpg,True,1,0,True,234.9765424846842,232.40545557077135,235.69642783782365,203.892281277771,273.6375576060276,1,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.jpg
sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124.jpg,True,1,0,True,247.5340089319673,249.11861279171703,247.86918569809802,215.97392190591765,269.28210974208315,0,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.jpg
sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159.jpg,True,1,0,True,244.80612135878445,242.26362161820586,245.41338613362254,212.7105213021472,277.78845214731774,1,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/csv/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.csv,hoi4d_samples2/wilor_egodex_no2d_4gpu_100k_last_vs_gt_2djoints/overlays/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.jpg
